station_key,station_name,waqi_uid,latitude,longitude,seed_city,seed_country,source,last_updated
birminghamtyburnroadsideunitedkingdom,"Birmingham Tyburn Roadside, United Kingdom",3163,52.512194,-1.830861,Birmingham,GB,waqi_search,2026-03-25T18:33:00.822766
birminghamtyburnunitedkingdom,"Birmingham Tyburn, United Kingdom",3162,52.511722,-1.830583,Birmingham,GB,waqi_search,2026-03-25T18:33:00.822766
blagnacaroportctpistesfrance,"Blagnac Aéroport Côté Pistes, France",3830,43.62530339,1.377245933,Toulouse,FR,waqi_search,2026-03-25T18:32:32.182503
blagnacaroportcttraficfrance,"Blagnac Aéroport Côté Trafic, France",3835,43.63347292,1.375719756,Toulouse,FR,waqi_search,2026-03-25T18:32:32.182503
boulevardhaussmannparis,"Boulevard Haussmann, Paris",3089,48.8733,2.32957,Paris,FR,waqi_search,2026-03-25T18:32:23.151014
boulevardperipheriqueestparis,"Boulevard Peripherique Est, Paris",3088,48.8386,2.41278,Paris,FR,waqi_search,2026-03-25T18:32:23.151014
brnoarboretumjihomoravskyczechrepublic,"Brno-Arboretum, Jihomoravsky, Czech Republic",2775,49.216087222222,16.613836388889,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnodetskanemocnicejihomoravskyczechrepublic,"Brno - Detska nemocnice, Jihomoravsky, Czech Republic",5737,49.202724444444,16.616287222222,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnolanyjihomoravskyczechrepublic,"Brno-Lany, Jihomoravsky, Czech Republic",2776,49.165260277778,16.5808125,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnolisenjihomoravskyczechrepublic,"Brno-Lisen, Jihomoravsky, Czech Republic",8708,49.213211111111,16.678024166667,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnomasnajihomoravskyczechrepublic,"Brno-Masna, Jihomoravsky, Czech Republic",7990,49.188831388889,16.627000833333,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnosvatoplukovajihomoravskyczechrepublic,"Brno-Svatoplukova, Jihomoravsky, Czech Republic",2777,49.208160277778,16.642517222222,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnouvozjihomoravskyczechrepublic,"Brno-Uvoz, Jihomoravsky, Czech Republic",2781,49.198089722222,16.593643055556,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
brnovystavistejihomoravskyczechrepublic,"Brno-Vystaviste, Jihomoravsky, Czech Republic",2778,49.189620833333,16.569538055556,Brno,CZ,waqi_search,2026-03-25T18:33:22.745696
broadwaysouthmissouriusa,"BROADWAY (South), Missouri, USA",7349,38.5425,-90.263611,Lille,FR,waqi_search,2026-03-25T18:32:29.962098
btmbangaloreindia,"BTM, Bangalore, India",8190,12.9135218,77.5950804,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
burosadobrossardsecteurduparcsorbonnequebeccanada,"burosado; Brossard - secteur du parc Sorbonne, Quebec, Canada",10134,45.4478313,-73.4803865,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
burosadomontreal,burosado; Montreal,5922,45.5086699,-73.5539925,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
