date, pm25, pm10, no2, so2
2023/7/31, 63, 54, , 5
2023/8/1, 82, 51, , 
2023/8/2, 87, 34, , 
2023/8/3, 65, 59, , 
2023/8/4, 99, 77, , 2
2023/8/5, 135, 58, , 1
2023/8/6, 113, 74, , 1
2023/8/7, 134, 84, , 3
2023/8/8, 149, 94, , 4
2023/8/9, 168, 53, , 
2023/8/10, 84, 54, , 
2023/8/11, 96, 58, , 1
2023/8/12, 98, 66, , 1
2023/8/13, 117, 69, , 3
2023/8/14, 125, 73, , 1
2023/8/15, 128, 74, , 1
2023/8/16, 122, 56, , 
2023/8/17, 102, 74, , 2
2023/8/18, 124, 70, , 3
2023/8/19, 120, 120, , 1
2023/8/20, 180, 87, , 1
2023/8/21, 140, 80, , 1
2023/8/22, 124, 67, , 1
2023/8/23, 105, 83, , 3
2023/8/24, 141, 79, , 1
2023/8/25, 155, 59, , 1
2023/8/26, 80, 61, , 6
2023/8/27, 109, 65, , 4
2023/8/28, 109, 70, , 4
2023/8/29, 122, 66, , 1
2023/8/30, 117, 62, , 1
2023/8/31, 95, 69, , 1
2023/9/1, 109, 73, , 2
2023/9/2, 112, 70, , 1
2023/9/3, 128, 79, , 
2023/9/4, 141, 83, , 1
2023/9/5, 137, 57, , 4
2023/9/6, 67, 61, , 
2023/9/7, 85, 71, , 2
2023/9/8, 119, 77, , 1
2023/9/9, 140, 77, , 2
2023/9/10, 134, 55, , 1
2023/9/11, 126, 56, , 4
2023/9/12, 60, 43, , 1
2023/9/13, 66, 42, , 
2023/9/14, 74, 65, , 
2023/9/15, 107, 81, , 
2023/9/16, 88, 69, , 7
2023/9/17, 101, 79, , 1
2023/9/18, 137, 64, , 
2023/9/19, 105, 58, , 
2023/9/20, 89, 61, , 1
2023/9/21, 94, 69, , 1
2023/9/22, 116, 70, , 1
2023/9/23, 125, 48, , 1
2023/9/24, 93, 55, , 1
2023/9/25, 93, 32, , 2
2023/9/26, 40, 39, , 2
2023/9/27, 76, 51, , 1
2023/9/28, 107, 34, , 1
2023/9/29, 76, , , 1
2023/4/1, 85, 47, , 1
2023/4/2, 90, 32, , 1
2023/4/3, 72, 37, , 
2023/4/4, 62, 31, , 3
2023/4/5, 60, 98, , 5
2023/4/6, 156, , , 
2023/4/12, 100, 44, , 2
2023/4/13, 83, 33, , 
2023/4/14, 55, 47, , 4
2023/4/15, 85, 43, , 
2023/4/16, 86, 58, , 1
2023/4/17, 106, 51, , 1
2023/4/18, 98, 78, , 2
2023/4/19, 131, 66, , 1
2023/4/20, 120, 53, , 
2023/4/21, 91, 56, , 1
2023/4/22, 102, 60, , 
2023/4/23, 107, 58, , 1
2023/4/24, 92, 82, , 1
2023/4/25, 128, 93, , 1
2023/4/26, 147, 77, , 1
2023/4/27, 140, 53, , 1
2023/4/28, 101, 50, , 1
2023/4/29, 100, 42, , 4
2023/4/30, 84, 37, , 
2023/5/1, 77, 48, , 2
2023/5/2, 85, 30, , 
2023/5/3, 64, 27, , 
2023/5/4, 60, 27, , 
2023/5/5, 64, 48, , 1
2023/5/6, 95, 41, , 1
2023/5/7, 85, 28, , 1
2023/5/8, 69, 43, , 3
2023/5/9, 85, 63, , 5
2023/5/10, 115, 50, , 
2023/5/11, 100, 45, , 
2023/5/12, 83, 54, , 1
2023/5/13, 106, 47, , 1
2023/5/14, 109, 31, , 5
2023/5/15, 67, 34, , 1
2023/5/16, 84, 44, , 1
2023/5/17, 94, 28, , 1
2023/5/18, 65, 41, , 
2023/5/19, 84, 40, , 2
2023/5/20, 69, 41, , 
2023/5/21, 80, 47, , 1
2023/5/22, 85, 54, , 
2023/5/23, 98, 57, , 1
2023/5/24, 112, 63, , 1
2023/5/25, 114, 57, , 5
2023/5/26, 97, 56, , 1
2023/5/27, 108, 50, , 
2023/5/28, 98, 53, , 
2023/5/29, 95, 42, , 
2023/5/30, 72, 28, , 
2023/5/31, 65, 53, , 1
2023/6/1, 87, 56, , 
2023/6/2, 109, 70, , 1
2023/6/3, 112, 72, , 1
2023/6/4, 128, 59, , 11
2023/6/5, 92, 73, , 1
2023/6/6, 132, 56, , 
2023/6/7, 107, 75, , 1
2023/6/8, 133, 56, , 
2023/6/9, 104, 63, , 4
2023/6/10, 100, 63, , 2
2023/6/11, 119, 76, , 1
2023/6/12, 137, 36, , 
2023/6/13, 63, 46, , 
2023/6/14, 73, 64, , 
2023/6/15, 93, 63, , 
2023/6/16, 93, 76, , 2
2023/6/17, 134, 64, , 1
2023/6/18, 130, 70, , 2
2023/6/19, 130, 47, , 
2023/6/20, 80, 81, , 1
2023/6/21, 145, 67, , 4
2023/6/22, 118, 85, , 2
2023/6/23, 165, 87, , 4
2023/6/24, 165, 81, , 3
2023/6/25, 154, 71, , 3
2023/6/26, 141, 63, , 2
2023/6/27, 121, 43, , 1
2023/6/28, 71, 31, , 1
2023/6/29, 64, 53, , 6
2023/6/30, 87, 56, , 4
2023/1/2, 71, 33, , 1
2023/1/3, 66, 35, , 
2023/1/4, 71, 24, , 
2023/1/5, 60, 23, , 3
2023/1/6, 52, 34, , 7
2023/1/7, 60, 29, , 3
2023/1/8, 71, 42, , 2
2023/1/9, 89, 47, , 1
2023/1/10, 88, 35, , 3
2023/1/11, 58, 33, , 7
2023/1/12, 37, 47, , 2
2023/1/13, 77, 40, , 3
2023/1/14, 66, 24, , 1
2023/1/15, 37, 41, , 3
2023/1/16, 54, 48, , 1
2023/1/17, 78, 34, , 1
2023/1/18, 60, 40, , 1
2023/1/19, 69, 51, , 1
2023/1/20, 88, 39, , 3
2023/1/21, 63, 37, , 2
2023/1/22, 53, 39, , 2
2023/1/23, 56, 75, , 1
2023/1/24, 118, 66, , 7
2023/1/25, 85, 25, , 5
2023/1/26, 44, 40, , 8
2023/1/27, 61, 51, , 2
2023/1/28, 81, 42, , 2
2023/1/29, 75, 18, , 
2023/1/30, 41, 24, , 2
2023/1/31, 40, 24, , 1
2023/2/1, 46, 24, , 
2023/2/2, 49, 29, , 
2023/2/3, 65, 20, , 
2023/2/4, 45, 35, , 
2023/2/5, 61, 46, , 
2023/2/6, 82, 47, , 
2023/2/7, 72, 38, , 
2023/2/8, 78, 34, , 
2023/2/9, 79, 21, , 2
2023/2/10, 51, 24, , 1
2023/2/11, 54, 24, , 1
2023/2/12, 51, 20, , 1
2023/2/13, 49, 20, , 2
2023/2/14, 34, 20, , 1
2023/2/15, 40, 29, , 1
2023/2/16, 53, 21, , 1
2023/2/17, 45, 23, , 1
2023/2/18, 55, 25, , 1
2023/2/19, 52, 42, , 2
2023/2/20, 80, 37, , 1
2023/2/21, 47, 42, , 2
2023/2/22, 71, 45, , 1
2023/2/23, 78, 51, , 6
2023/2/24, 93, 64, , 4
2023/2/25, 114, 26, , 7
2023/2/26, 45, 31, , 7
2023/2/27, 49, 39, , 5
2023/2/28, 60, 47, , 
2023/3/1, 85, 38, , 5
2023/3/2, 64, 35, , 4
2023/3/3, 58, 44, , 2
2023/3/4, 83, 32, , 1
2023/3/5, 58, 39, , 2
2023/3/6, 63, 38, , 2
2023/3/7, 72, 33, , 1
2023/3/8, 64, 33, , 1
2023/3/9, 47, 46, , 5
2023/3/10, 65, 29, , 1
2023/3/11, 45, 32, , 3
2023/3/12, 46, 27, , 9
2023/3/13, 35, 42, , 10
2023/3/14, 69, 46, , 3
2023/3/15, 71, 36, , 8
2023/3/16, 64, 36, , 2
2023/3/17, 53, 57, , 3
2023/3/18, 109, 43, , 2
2023/3/19, 78, 45, , 2
2023/3/20, 87, , , 
2023/3/22, 65, 38, , 1
2023/3/23, 61, 29, , 1
2023/3/24, 51, 17, , 1
2023/3/25, 37, 29, , 1
2023/3/26, 53, 41, , 4
2023/3/27, 77, 24, , 1
2023/3/28, 49, 48, , 1
2023/3/29, 83, 25, , 
2023/3/30, 43, 31, , 1
2023/3/31, 60, 44, , 
2022/10/1, 96, 64, , 1
2022/10/2, 114, 68, , 1
2022/10/3, 114, 69, , 1
2022/10/4, 116, 69, , 
2022/10/5, 100, 64, , 
2022/10/6, 98, 76, , 
2022/10/7, 140, 69, , 
2022/10/8, 123, 63, , 
2022/10/9, 112, 70, , 2
2022/10/10, 124, 59, , 
2022/10/11, 95, 55, , 
2022/10/12, 103, , , 
2022/10/14, 98, 65, , 3
2022/10/15, 100, 51, , 1
2022/10/16, 91, 46, , 
2022/10/17, 81, 62, , 2
2022/10/18, 114, 52, , 1
2022/10/19, 106, 49, , 1
2022/10/20, 103, 41, , 2
2022/10/21, 79, 46, , 2
2022/10/22, 99, 29, , 1
2022/10/23, 63, 43, , 1
2022/10/24, 80, 39, , 
2022/10/25, 79, 93, , 1
2022/10/26, 113, 28, , 
2022/10/27, 66, 29, , 3
2022/10/28, 62, 27, , 1
2022/10/29, 58, 29, , 
2022/10/30, 57, 30, , 2
2022/10/31, 67, 20, , 1
2022/11/1, 44, 20, , 2
2022/11/2, 47, 23, , 
2022/11/3, 51, 28, , 1
2022/11/4, 62, 26, , 1
2022/11/5, 51, 23, , 1
2022/11/6, 47, 22, , 1
2022/11/7, 50, 16, , 1
2022/11/8, 40, 31, , 
2022/11/9, 53, 37, , 6
2022/11/10, 71, 24, , 1
2022/11/11, 56, 20, , 1
2022/11/12, 51, 21, , 1
2022/11/13, 55, 40, , 5
2022/11/14, 77, 42, , 1
2022/11/15, 79, 41, , 1
2022/11/16, 79, 42, , 1
2022/11/17, 78, 38, , 1
2022/11/18, 66, 42, , 1
2022/11/19, 85, 29, , 1
2022/11/20, 44, 34, , 1
2022/11/21, 55, 49, , 2
2022/11/22, 78, 47, , 3
2022/11/23, 93, 54, , 1
2022/11/24, 99, 37, , 1
2022/11/25, 74, 30, , 1
2022/11/26, 67, , , 
2022/11/28, 47, 25, , 1
2022/11/29, 55, 55, , 2
2022/11/30, 90, 50, , 2
2022/12/1, 93, 42, , 
2022/12/2, 71, 27, , 
2022/12/3, 50, 34, , 
2022/12/4, 65, 23, , 
2022/12/5, 49, 21, , 
2022/12/6, 48, 21, , 
2022/12/7, 36, 26, , 
2022/12/8, 51, 31, , 1
2022/12/9, 64, 31, , 
2022/12/10, 62, 37, , 1
2022/12/11, 73, 21, , 
2022/12/12, 49, 15, , 
2022/12/13, 34, 25, , 
2022/12/14, 50, 38, , 1
2022/12/15, 75, 34, , 
2022/12/16, 71, 26, , 2
2022/12/17, 52, 28, , 1
2022/12/18, 54, 22, , 
2022/12/19, 49, 30, , 
2022/12/20, 64, 21, , 
2022/12/21, 50, 25, , 1
2022/12/22, 50, 38, , 1
2022/12/23, 75, 52, , 1
2022/12/24, 89, 31, , 1
2022/12/25, 57, 23, , 1
2022/12/26, 53, 37, , 
2022/12/27, 82, 26, , 
2022/12/28, 60, 22, , 
2022/12/29, 54, 30, , 3
2022/12/30, 61, 21, , 1
2022/12/31, 50, 31, , 1
2023/1/1, 73, 32, , 2
2022/7/1, 115, 66, , 1
2022/7/2, 127, 58, , 1
2022/7/3, 114, 54, , 
2022/7/4, 106, 71, , 2
2022/7/5, 123, 82, , 1
2022/7/6, 136, 67, , 
2022/7/7, 119, 68, , 1
2022/7/8, 119, 81, , 1
2022/7/9, 155, 62, , 
2022/7/10, 116, 51, , 4
2022/7/11, 83, 78, , 1
2022/7/12, 117, 79, , 1
2022/7/13, 135, 73, , 
2022/7/14, 127, 74, , 2
2022/7/15, 129, 76, , 1
2022/7/16, 141, 68, , 3
2022/7/17, 131, 65, , 1
2022/7/18, 112, 57, , 
2022/7/19, 95, 65, , 1
2022/7/20, 110, 66, , 1
2022/7/21, 123, 77, , 1
2022/7/22, 126, 64, , 2
2022/7/23, 112, 53, , 
2022/7/24, 123, , , 
2022/7/28, 105, 64, , 
2022/7/29, 102, 83, , 1
